model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,keyboard,ourdataset.json,Q00003,0.9,0.14096862727049725,0.9593417048454285
llama,keyboard,ourdataset.json,Q00003,0.9,0.14880503775525253,0.9611043930053711
llama,keyboard,ourdataset.json,Q00003,0.9,0.15264496228016824,0.9549068212509155
llama,keyboard,ourdataset.json,Q00003,0.9,0.18764953199581175,0.9599415063858032
llama,keyboard,ourdataset.json,Q00003,0.95,,
llama,keyboard,ourdataset.json,Q00003,0.95,,
llama,keyboard,ourdataset.json,Q00003,0.95,,
llama,keyboard,ourdataset.json,Q00003,0.95,,
llama,keyboard,ourdataset.json,Q00003,0.95,,
llama,keyboard,ourdataset.json,Q00003,1.0,0.13562820036268552,0.960717499256134
llama,keyboard,ourdataset.json,Q00003,1.0,0.14322749506142418,0.959091305732727
llama,keyboard,ourdataset.json,Q00003,1.0,0.15369625939443823,0.9514865875244141
llama,keyboard,ourdataset.json,Q00003,1.0,0.13562820036268552,0.9606714248657227
llama,keyboard,ourdataset.json,Q00003,1.0,0.14707474204070745,0.961326003074646
