model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,synonym,newleetcode.json,Q00019,0.0,0.9225454545454547,0.9972394704818726
gemini,synonym,newleetcode.json,Q00019,0.0,0.9225454545454547,0.9972394704818726
gemini,synonym,newleetcode.json,Q00019,0.0,0.9225454545454547,0.9972394704818726
gemini,synonym,newleetcode.json,Q00019,0.0,0.9225454545454547,0.9972394704818726
gemini,synonym,newleetcode.json,Q00019,0.0,0.7141818181818185,0.9889580011367798
gemini,synonym,newleetcode.json,Q00019,0.05,,
gemini,synonym,newleetcode.json,Q00019,0.05,,
gemini,synonym,newleetcode.json,Q00019,0.05,,
gemini,synonym,newleetcode.json,Q00019,0.05,,
gemini,synonym,newleetcode.json,Q00019,0.05,,
gemini,synonym,newleetcode.json,Q00019,0.1,0.5581666666666669,0.9873698353767395
gemini,synonym,newleetcode.json,Q00019,0.1,0.3993034825870635,0.9857065081596375
gemini,synonym,newleetcode.json,Q00019,0.1,0.5581666666666669,0.9873698353767395
gemini,synonym,newleetcode.json,Q00019,0.1,0.3993034825870635,0.9857065081596375
gemini,synonym,newleetcode.json,Q00019,0.1,0.5581666666666669,0.9873698353767395
gemini,synonym,newleetcode.json,Q00019,0.15,,
gemini,synonym,newleetcode.json,Q00019,0.15,,
gemini,synonym,newleetcode.json,Q00019,0.15,,
gemini,synonym,newleetcode.json,Q00019,0.15,,
gemini,synonym,newleetcode.json,Q00019,0.15,,
gemini,synonym,newleetcode.json,Q00019,0.2,0.5087914438502675,0.9869446754455566
gemini,synonym,newleetcode.json,Q00019,0.2,0.5087914438502675,0.9869445562362671
gemini,synonym,newleetcode.json,Q00019,0.2,0.5087914438502675,0.9869445562362671
gemini,synonym,newleetcode.json,Q00019,0.2,0.5087914438502675,0.9868868589401245
gemini,synonym,newleetcode.json,Q00019,0.2,0.5087914438502675,0.9868868589401245
gemini,synonym,newleetcode.json,Q00019,0.25,,
gemini,synonym,newleetcode.json,Q00019,0.25,,
gemini,synonym,newleetcode.json,Q00019,0.25,,
gemini,synonym,newleetcode.json,Q00019,0.25,,
gemini,synonym,newleetcode.json,Q00019,0.25,,
gemini,synonym,newleetcode.json,Q00019,0.3,,
gemini,synonym,newleetcode.json,Q00019,0.3,,
gemini,synonym,newleetcode.json,Q00019,0.3,,
gemini,synonym,newleetcode.json,Q00019,0.3,,
gemini,synonym,newleetcode.json,Q00019,0.3,,
gemini,synonym,newleetcode.json,Q00019,0.35,,
gemini,synonym,newleetcode.json,Q00019,0.35,,
gemini,synonym,newleetcode.json,Q00019,0.35,,
gemini,synonym,newleetcode.json,Q00019,0.35,,
gemini,synonym,newleetcode.json,Q00019,0.35,,
gemini,synonym,newleetcode.json,Q00019,0.4,,
gemini,synonym,newleetcode.json,Q00019,0.4,,
gemini,synonym,newleetcode.json,Q00019,0.4,,
gemini,synonym,newleetcode.json,Q00019,0.4,,
gemini,synonym,newleetcode.json,Q00019,0.4,,
gemini,synonym,newleetcode.json,Q00019,0.45,,
gemini,synonym,newleetcode.json,Q00019,0.45,,
gemini,synonym,newleetcode.json,Q00019,0.45,,
gemini,synonym,newleetcode.json,Q00019,0.45,,
gemini,synonym,newleetcode.json,Q00019,0.45,,
gemini,synonym,newleetcode.json,Q00019,0.5,,
gemini,synonym,newleetcode.json,Q00019,0.5,,
gemini,synonym,newleetcode.json,Q00019,0.5,,
gemini,synonym,newleetcode.json,Q00019,0.5,,
gemini,synonym,newleetcode.json,Q00019,0.5,,
gemini,synonym,newleetcode.json,Q00019,0.55,,
gemini,synonym,newleetcode.json,Q00019,0.55,,
gemini,synonym,newleetcode.json,Q00019,0.55,,
gemini,synonym,newleetcode.json,Q00019,0.55,,
gemini,synonym,newleetcode.json,Q00019,0.55,,
gemini,synonym,newleetcode.json,Q00019,0.6,,
gemini,synonym,newleetcode.json,Q00019,0.6,,
gemini,synonym,newleetcode.json,Q00019,0.6,,
gemini,synonym,newleetcode.json,Q00019,0.6,,
gemini,synonym,newleetcode.json,Q00019,0.6,,
gemini,synonym,newleetcode.json,Q00019,0.65,,
gemini,synonym,newleetcode.json,Q00019,0.65,,
gemini,synonym,newleetcode.json,Q00019,0.65,,
gemini,synonym,newleetcode.json,Q00019,0.65,,
gemini,synonym,newleetcode.json,Q00019,0.65,,
gemini,synonym,newleetcode.json,Q00019,0.7,,
gemini,synonym,newleetcode.json,Q00019,0.7,,
