model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,paraphraser,ourdataset.json,Q00010,0.0,0.4195304213829668,0.980360209941864
claude,paraphraser,ourdataset.json,Q00010,0.0,0.4145369699205036,0.9831973910331726
claude,paraphraser,ourdataset.json,Q00010,0.0,0.45133563080611483,0.9846388101577759
claude,paraphraser,ourdataset.json,Q00010,0.0,0.5033191489361716,0.9852105975151062
claude,paraphraser,ourdataset.json,Q00010,0.0,0.4745457732728477,0.9841581583023071
claude,paraphraser,ourdataset.json,Q00010,0.25,,
claude,paraphraser,ourdataset.json,Q00010,0.25,,
claude,paraphraser,ourdataset.json,Q00010,0.25,,
claude,paraphraser,ourdataset.json,Q00010,0.25,,
claude,paraphraser,ourdataset.json,Q00010,0.25,,
claude,paraphraser,ourdataset.json,Q00010,0.6,0.3525002775208147,0.9764502644538879
claude,paraphraser,ourdataset.json,Q00010,0.6,0.36038112797400473,0.9834663271903992
claude,paraphraser,ourdataset.json,Q00010,0.6,0.3183010303772113,0.9785972833633423
claude,paraphraser,ourdataset.json,Q00010,0.6,0.3372933984495082,0.9744211435317993
claude,paraphraser,ourdataset.json,Q00010,0.6,0.3144031317154692,0.9797201156616211
claude,paraphraser,ourdataset.json,Q00010,0.9,,
claude,paraphraser,ourdataset.json,Q00010,0.9,,
claude,paraphraser,ourdataset.json,Q00010,0.9,,
claude,paraphraser,ourdataset.json,Q00010,0.9,,
claude,paraphraser,ourdataset.json,Q00010,0.9,,
