method,augmentation_rate,code_similarity
KeyboardAug,0.35,0.8976958525345623
KeyboardAug,0.35,0.3355882352941168
KeyboardAug,0.35,0.3367935409457859
KeyboardAug,0.35,0.3016861219195835
KeyboardAug,0.35,0.9141509433962265
KeyboardAug,0.4,1.0
KeyboardAug,0.4,0.3429141716566862
KeyboardAug,0.4,0.2463492063492058
KeyboardAug,0.4,0.854054054054054
KeyboardAug,0.4,0.3303278688524547
KeyboardAug,0.4,0.4901960784313732
KeyboardAug,0.4,0.30116086235488954
KeyboardAug,0.4,0.5424164524421602
KeyboardAug,0.4,0.3710144927536224
KeyboardAug,0.4,0.4041407867494801
KeyboardAug,0.4,0.8140703517587939
KeyboardAug,0.4,0.841025641025641
KeyboardAug,0.4,0.3015384615384616
KeyboardAug,0.4,0.33419023136246756
KeyboardAug,0.4,0.8657142857142857
KeyboardAug,0.4,0.6215384615384616
KeyboardAug,0.4,0.2926994906621387
KeyboardAug,0.4,0.3756097560975565
KeyboardAug,0.4,0.44842767295597546
KeyboardAug,0.4,0.4809523809523811
KeyboardAug,0.45,0.4120274914089321
KeyboardAug,0.45,0.6800000000000002
KeyboardAug,0.45,0.32717391304347404
KeyboardAug,0.45,0.3299781181619241
KeyboardAug,0.45,0.7158974358974358
KeyboardAug,0.45,0.29204819277108474
KeyboardAug,0.45,0.8707692307692309
KeyboardAug,0.45,0.6512820512820513
KeyboardAug,0.45,0.5964788732394367
KeyboardAug,0.45,0.39273927392739216
KeyboardAug,0.45,0.46460481099656353
KeyboardAug,0.45,0.8512820512820513
KeyboardAug,0.45,0.594949494949495
KeyboardAug,0.45,0.4246153846153847
KeyboardAug,0.45,0.8763636363636362
KeyboardAug,0.45,0.9435897435897436
KeyboardAug,0.45,0.37157190635451276
KeyboardAug,0.45,0.3898423817863366
KeyboardAug,0.45,0.6625641025641025
KeyboardAug,0.45,0.33360323886639437
KeyboardAug,0.5,0.4779487179487179
KeyboardAug,0.5,0.3234840132304271
KeyboardAug,0.5,0.28156028368793956
KeyboardAug,0.5,0.7094527363184079
KeyboardAug,0.5,0.30523338048090193
KeyboardAug,0.5,0.48208955223880634
KeyboardAug,0.5,0.7463414634146344
KeyboardAug,0.5,0.2807441860465211
KeyboardAug,0.5,0.2854054054054147
KeyboardAug,0.5,0.2762002042900874
KeyboardAug,0.5,0.27146067415730274
KeyboardAug,0.5,0.9415384615384615
KeyboardAug,0.5,0.3652303120356598
KeyboardAug,0.5,0.28410256410256396
KeyboardAug,0.5,0.75
KeyboardAug,0.5,0.7631768953068595
KeyboardAug,0.5,0.42671009771987006
KeyboardAug,0.5,0.33406896551723714
KeyboardAug,0.5,0.3949275362318815
KeyboardAug,0.5,0.6851405622489961
KeyboardAug,0.55,0.3984877126654046
KeyboardAug,0.55,0.7791304347826087
KeyboardAug,0.55,0.29320987654320874
KeyboardAug,0.55,0.5323076923076924
KeyboardAug,0.55,0.7292181069958847
KeyboardAug,0.55,0.30562414266117816
KeyboardAug,0.55,0.26358974358974363
KeyboardAug,0.55,0.2923076923076923
KeyboardAug,0.55,0.29999999999999954
KeyboardAug,0.55,0.36729559748427515
KeyboardAug,0.55,0.3267056530214408
KeyboardAug,0.55,0.27564469914040024
KeyboardAug,0.55,0.8246153846153846
KeyboardAug,0.55,0.6900990099009902
KeyboardAug,0.55,0.48086956521739066
KeyboardAug,0.55,0.7158974358974358
KeyboardAug,0.55,0.5272727272727264
KeyboardAug,0.55,0.759139784946237
KeyboardAug,0.55,0.47589743589743594
KeyboardAug,0.55,0.4767932489451476
KeyboardAug,0.6,0.13333333333333305
KeyboardAug,0.6,0.5108333333333336
KeyboardAug,0.6,0.29157088122605146
KeyboardAug,0.6,0.27619943555973264
KeyboardAug,0.6,0.19282051282051293
KeyboardAug,0.6,0.3341121495327096
KeyboardAug,0.6,0.2880755608028339
KeyboardAug,0.6,0.35987558320372953
KeyboardAug,0.6,0.17110266159695678
KeyboardAug,0.6,0.303725782414304
KeyboardAug,0.6,0.3319148936170188
KeyboardAug,0.6,0.352879581151832
KeyboardAug,0.6,0.1538461538461537
KeyboardAug,0.6,0.3443671766342094
KeyboardAug,0.6,0.2952182952182942
KeyboardAug,0.6,0.3160068846815837
KeyboardAug,0.6,0.5876923076923077
KeyboardAug,0.6,0.4400000000000001
KeyboardAug,0.6,0.2930091185410322
KeyboardAug,0.6,0.7282051282051286
KeyboardAug,0.65,0.28260869565217944
KeyboardAug,0.65,0.30396825396825417
KeyboardAug,0.65,0.6845188284518828
KeyboardAug,0.65,0.3236004390779343
KeyboardAug,0.65,0.36382054992763685
KeyboardAug,0.65,0.6200000000000001
KeyboardAug,0.65,0.4328358208955194
KeyboardAug,0.65,0.9446153846153845
KeyboardAug,0.65,0.3673130193905802
KeyboardAug,0.65,0.3765258215962439
KeyboardAug,0.65,0.3126213592232969
KeyboardAug,0.65,0.45968109339407837
KeyboardAug,0.65,0.3972076788830688
KeyboardAug,0.65,0.2597402597402596
KeyboardAug,0.65,0.42974358974358995
KeyboardAug,0.65,0.2851282051282055
KeyboardAug,0.65,0.46394557823129207
KeyboardAug,0.65,0.31106557377049066
KeyboardAug,0.65,0.5100478468899529
KeyboardAug,0.65,0.27537387836490135
KeyboardAug,0.7,0.270980788675439
KeyboardAug,0.7,0.4486215538847122
KeyboardAug,0.7,0.3786324786324757
KeyboardAug,0.7,0.438506876227896
KeyboardAug,0.7,0.4939655172413793
KeyboardAug,0.7,0.49999999999999933
KeyboardAug,0.7,0.4881720430107529
KeyboardAug,0.7,0.31226158038146967
KeyboardAug,0.7,0.6182572614107885
KeyboardAug,0.7,0.6186046511627914
KeyboardAug,0.7,0.17683397683397656
KeyboardAug,0.7,0.4169863013698632
KeyboardAug,0.7,0.43716381418092903
KeyboardAug,0.7,0.03589743589743546
KeyboardAug,0.7,0.32603471295059755
KeyboardAug,0.7,0.38006430868167235
KeyboardAug,0.7,0.3257548845470658
KeyboardAug,0.7,0.21128205128205138
KeyboardAug,0.7,0.21538461538461554
KeyboardAug,0.7,0.3107594936708837
KeyboardAug,0.75,0.3043173862310371
KeyboardAug,0.75,0.3871559633027482
KeyboardAug,0.75,0.36843971631205485
KeyboardAug,0.75,0.2902575587905966
KeyboardAug,0.75,0.3302491103202797
KeyboardAug,0.75,0.7758793969849248
KeyboardAug,0.75,0.4180076628352476
KeyboardAug,0.75,0.41921397379912567
KeyboardAug,0.75,0.32360097323600684
KeyboardAug,0.75,0.28831967213114357
KeyboardAug,0.75,0.4881987577639756
KeyboardAug,0.75,0.30872727272726946
KeyboardAug,0.75,0.17128205128205118
KeyboardAug,0.75,0.6410256410256411
KeyboardAug,0.75,0.2707692307692308
KeyboardAug,0.75,0.3263157894736815
KeyboardAug,0.75,0.22781774580335581
KeyboardAug,0.75,0.35848375451263276
KeyboardAug,0.75,0.25935251798560943
KeyboardAug,0.75,0.33443072702331555
KeyboardAug,0.8,0.6794392523364486
KeyboardAug,0.8,0.3210134128166885
KeyboardAug,0.8,0.2635897435897471
KeyboardAug,0.8,0.4386666666666673
KeyboardAug,0.8,0.2896265560165965
KeyboardAug,0.8,0.7418367346938776
KeyboardAug,0.8,0.28050436469446943
KeyboardAug,0.8,0.4593155893536122
KeyboardAug,0.8,0.5128205128205128
KeyboardAug,0.8,0.25311203319501885
