method,augmentation_rate,code_similarity
KeyboardAug,0.75,0.4486707566462152
KeyboardAug,0.75,0.4248648648648649
KeyboardAug,0.75,0.27074235807860286
KeyboardAug,0.75,0.24864864864864897
KeyboardAug,0.75,0.7081081081081081
KeyboardAug,0.75,0.2377079482439896
KeyboardAug,0.75,0.3349593495934933
KeyboardAug,0.75,0.6194594594594595
KeyboardAug,0.8,0.3622535211267614
KeyboardAug,0.8,0.32391304347825906
KeyboardAug,0.8,0.225945945945946
KeyboardAug,0.8,0.705263157894737
KeyboardAug,0.8,0.5125319693094638
KeyboardAug,0.8,0.9830687830687831
KeyboardAug,0.8,0.6086486486486486
KeyboardAug,0.8,0.3887905604719766
KeyboardAug,0.8,0.44852686308492234
KeyboardAug,0.8,0.7707509881422927
KeyboardAug,0.85,0.3773255813953486
KeyboardAug,0.85,0.2954314720812159
KeyboardAug,0.85,0.4296296296296301
KeyboardAug,0.85,0.29847094801223223
KeyboardAug,0.85,0.41818181818181877
KeyboardAug,0.85,0.27324290998767137
KeyboardAug,0.85,0.40748898678414
KeyboardAug,0.85,0.307154213036564
KeyboardAug,0.85,0.5737179487179488
KeyboardAug,0.85,0.42702702702702705
KeyboardAug,0.9,0.14486486486486494
KeyboardAug,0.9,0.4003294892915958
KeyboardAug,0.9,0.24972972972972998
KeyboardAug,0.9,0.7282868525896417
KeyboardAug,0.9,0.5200000000000001
KeyboardAug,0.9,0.2019801980198022
KeyboardAug,0.9,0.44123314065510455
KeyboardAug,0.9,0.32248995983935597
KeyboardAug,0.9,0.269999999999998
KeyboardAug,0.9,0.8144680851063831
KeyboardAug,0.95,0.4468354430379741
KeyboardAug,0.95,0.35610425240054305
KeyboardAug,0.95,0.29707317073170497
KeyboardAug,0.95,0.3715231788079467
KeyboardAug,0.95,0.24104477611940298
KeyboardAug,0.95,0.3206030150753771
KeyboardAug,0.95,0.5045662100456617
KeyboardAug,0.95,0.15680751173708923
KeyboardAug,0.95,0.40897666068222366
KeyboardAug,0.95,0.9544973544973545
KeyboardAug,1.0,0.3524539877300574
KeyboardAug,1.0,0.5028806584362143
KeyboardAug,1.0,0.2831395348837186
KeyboardAug,1.0,0.6050955414012743
KeyboardAug,1.0,0.27133984028395103
KeyboardAug,1.0,0.24307692307692297
KeyboardAug,1.0,0.35507559395248267
KeyboardAug,1.0,0.27708154506437277
KeyboardAug,1.0,0.36419047619047423
KeyboardAug,1.0,0.33549549549549385
