model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,synonym,ourdataset.json,Q00013,0.0,0.4803523664299146,0.9842569231987
llama,synonym,ourdataset.json,Q00013,0.0,0.5467346938775507,0.9820408821105957
llama,synonym,ourdataset.json,Q00013,0.0,0.4969894950318182,0.9832021594047546
llama,synonym,ourdataset.json,Q00013,0.0,0.5325062901873074,0.982247531414032
llama,synonym,ourdataset.json,Q00013,0.0,0.47678879121726314,0.9816362261772156
llama,synonym,ourdataset.json,Q00013,0.05,,
llama,synonym,ourdataset.json,Q00013,0.05,,
llama,synonym,ourdataset.json,Q00013,0.05,,
llama,synonym,ourdataset.json,Q00013,0.05,,
llama,synonym,ourdataset.json,Q00013,0.05,,
llama,synonym,ourdataset.json,Q00013,0.1,,
llama,synonym,ourdataset.json,Q00013,0.1,,
llama,synonym,ourdataset.json,Q00013,0.1,,
llama,synonym,ourdataset.json,Q00013,0.1,,
llama,synonym,ourdataset.json,Q00013,0.1,,
llama,synonym,ourdataset.json,Q00013,0.15,,
llama,synonym,ourdataset.json,Q00013,0.15,,
llama,synonym,ourdataset.json,Q00013,0.15,,
llama,synonym,ourdataset.json,Q00013,0.15,,
llama,synonym,ourdataset.json,Q00013,0.15,,
llama,synonym,ourdataset.json,Q00013,0.2,0.3300279200869591,0.9763069152832031
llama,synonym,ourdataset.json,Q00013,0.2,0.2976933154868045,0.977408230304718
llama,synonym,ourdataset.json,Q00013,0.2,0.2976933154868045,0.977408230304718
llama,synonym,ourdataset.json,Q00013,0.2,0.29825206623680867,0.9779410362243652
llama,synonym,ourdataset.json,Q00013,0.2,0.29825206623680867,0.9779410362243652
llama,synonym,ourdataset.json,Q00013,0.25,,
llama,synonym,ourdataset.json,Q00013,0.25,,
llama,synonym,ourdataset.json,Q00013,0.25,,
llama,synonym,ourdataset.json,Q00013,0.25,,
llama,synonym,ourdataset.json,Q00013,0.25,,
llama,synonym,ourdataset.json,Q00013,0.3,,
llama,synonym,ourdataset.json,Q00013,0.3,,
llama,synonym,ourdataset.json,Q00013,0.3,,
llama,synonym,ourdataset.json,Q00013,0.3,,
llama,synonym,ourdataset.json,Q00013,0.3,,
llama,synonym,ourdataset.json,Q00013,0.35,,
llama,synonym,ourdataset.json,Q00013,0.35,,
llama,synonym,ourdataset.json,Q00013,0.35,,
llama,synonym,ourdataset.json,Q00013,0.35,,
llama,synonym,ourdataset.json,Q00013,0.35,,
llama,synonym,ourdataset.json,Q00013,0.4,0.34663612423078594,0.9749027490615845
llama,synonym,ourdataset.json,Q00013,0.4,0.34920206030642653,0.9766067266464233
llama,synonym,ourdataset.json,Q00013,0.4,0.30446778357080173,0.9782265424728394
llama,synonym,ourdataset.json,Q00013,0.4,0.34422468503230935,0.9745169878005981
llama,synonym,ourdataset.json,Q00013,0.4,0.34422468503230935,0.9745169878005981
llama,synonym,ourdataset.json,Q00013,0.45,,
llama,synonym,ourdataset.json,Q00013,0.45,,
llama,synonym,ourdataset.json,Q00013,0.45,,
llama,synonym,ourdataset.json,Q00013,0.45,,
llama,synonym,ourdataset.json,Q00013,0.45,,
llama,synonym,ourdataset.json,Q00013,0.5,,
llama,synonym,ourdataset.json,Q00013,0.5,,
llama,synonym,ourdataset.json,Q00013,0.5,,
llama,synonym,ourdataset.json,Q00013,0.5,,
llama,synonym,ourdataset.json,Q00013,0.5,,
llama,synonym,ourdataset.json,Q00013,0.55,,
llama,synonym,ourdataset.json,Q00013,0.55,,
llama,synonym,ourdataset.json,Q00013,0.55,,
llama,synonym,ourdataset.json,Q00013,0.55,,
llama,synonym,ourdataset.json,Q00013,0.55,,
llama,synonym,ourdataset.json,Q00013,0.6,0.2751009296227359,0.9726182818412781
llama,synonym,ourdataset.json,Q00013,0.6,0.4113912478841926,0.977098822593689
llama,synonym,ourdataset.json,Q00013,0.6,0.4113912478841926,0.977098822593689
llama,synonym,ourdataset.json,Q00013,0.6,0.4113912478841926,0.977098822593689
llama,synonym,ourdataset.json,Q00013,0.6,0.4113912478841926,0.977098822593689
llama,synonym,ourdataset.json,Q00013,0.65,,
llama,synonym,ourdataset.json,Q00013,0.65,,
llama,synonym,ourdataset.json,Q00013,0.65,,
llama,synonym,ourdataset.json,Q00013,0.65,,
llama,synonym,ourdataset.json,Q00013,0.65,,
llama,synonym,ourdataset.json,Q00013,0.7,,
llama,synonym,ourdataset.json,Q00013,0.7,,
llama,synonym,ourdataset.json,Q00013,0.7,,
llama,synonym,ourdataset.json,Q00013,0.7,,
llama,synonym,ourdataset.json,Q00013,0.7,,
llama,synonym,ourdataset.json,Q00013,0.75,,
llama,synonym,ourdataset.json,Q00013,0.75,,
llama,synonym,ourdataset.json,Q00013,0.75,,
llama,synonym,ourdataset.json,Q00013,0.75,,
llama,synonym,ourdataset.json,Q00013,0.75,,
llama,synonym,ourdataset.json,Q00013,0.8,0.24128438337495806,0.9733942151069641
llama,synonym,ourdataset.json,Q00013,0.8,0.29882994982255556,0.9753813743591309
llama,synonym,ourdataset.json,Q00013,0.8,0.2438806850273804,0.9743776321411133
llama,synonym,ourdataset.json,Q00013,0.8,0.2438806850273804,0.9743776321411133
llama,synonym,ourdataset.json,Q00013,0.8,0.3124560249479931,0.9680576324462891
llama,synonym,ourdataset.json,Q00013,0.85,,
llama,synonym,ourdataset.json,Q00013,0.85,,
llama,synonym,ourdataset.json,Q00013,0.85,,
llama,synonym,ourdataset.json,Q00013,0.85,,
llama,synonym,ourdataset.json,Q00013,0.85,,
llama,synonym,ourdataset.json,Q00013,0.9,,
llama,synonym,ourdataset.json,Q00013,0.9,,
llama,synonym,ourdataset.json,Q00013,0.9,,
llama,synonym,ourdataset.json,Q00013,0.9,,
llama,synonym,ourdataset.json,Q00013,0.9,,
llama,synonym,ourdataset.json,Q00013,0.95,,
llama,synonym,ourdataset.json,Q00013,0.95,,
