model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,synonym,ourdataset.json,Q00012,0.0,0.3299607382308626,0.9758189916610718
llama,synonym,ourdataset.json,Q00012,0.0,0.4968824940047961,0.9825892448425293
llama,synonym,ourdataset.json,Q00012,0.0,0.4225122478704149,0.9793145060539246
llama,synonym,ourdataset.json,Q00012,0.0,0.5641535295038078,0.9858465194702148
llama,synonym,ourdataset.json,Q00012,0.0,0.5641535295038078,0.9858465194702148
llama,synonym,ourdataset.json,Q00012,0.05,,
llama,synonym,ourdataset.json,Q00012,0.05,,
llama,synonym,ourdataset.json,Q00012,0.05,,
llama,synonym,ourdataset.json,Q00012,0.05,,
llama,synonym,ourdataset.json,Q00012,0.05,,
llama,synonym,ourdataset.json,Q00012,0.1,,
llama,synonym,ourdataset.json,Q00012,0.1,,
llama,synonym,ourdataset.json,Q00012,0.1,,
llama,synonym,ourdataset.json,Q00012,0.1,,
llama,synonym,ourdataset.json,Q00012,0.1,,
llama,synonym,ourdataset.json,Q00012,0.15,,
llama,synonym,ourdataset.json,Q00012,0.15,,
llama,synonym,ourdataset.json,Q00012,0.15,,
llama,synonym,ourdataset.json,Q00012,0.15,,
llama,synonym,ourdataset.json,Q00012,0.15,,
llama,synonym,ourdataset.json,Q00012,0.2,0.28503537096702974,0.9767228364944458
llama,synonym,ourdataset.json,Q00012,0.2,0.2999973082758277,0.9789186716079712
llama,synonym,ourdataset.json,Q00012,0.2,0.25075718580065454,0.9770002365112305
llama,synonym,ourdataset.json,Q00012,0.2,0.27938190330910667,0.9768516421318054
llama,synonym,ourdataset.json,Q00012,0.2,0.26589727171142585,0.9772988557815552
llama,synonym,ourdataset.json,Q00012,0.25,,
llama,synonym,ourdataset.json,Q00012,0.25,,
llama,synonym,ourdataset.json,Q00012,0.25,,
llama,synonym,ourdataset.json,Q00012,0.25,,
llama,synonym,ourdataset.json,Q00012,0.25,,
llama,synonym,ourdataset.json,Q00012,0.3,,
llama,synonym,ourdataset.json,Q00012,0.3,,
llama,synonym,ourdataset.json,Q00012,0.3,,
llama,synonym,ourdataset.json,Q00012,0.3,,
llama,synonym,ourdataset.json,Q00012,0.3,,
llama,synonym,ourdataset.json,Q00012,0.35,,
llama,synonym,ourdataset.json,Q00012,0.35,,
llama,synonym,ourdataset.json,Q00012,0.35,,
llama,synonym,ourdataset.json,Q00012,0.35,,
llama,synonym,ourdataset.json,Q00012,0.35,,
llama,synonym,ourdataset.json,Q00012,0.4,0.22470329670329567,0.9715163111686707
llama,synonym,ourdataset.json,Q00012,0.4,0.24214409800825215,0.9762175679206848
llama,synonym,ourdataset.json,Q00012,0.4,0.2800110207521258,0.9778460264205933
llama,synonym,ourdataset.json,Q00012,0.4,0.2800110207521258,0.9778460264205933
llama,synonym,ourdataset.json,Q00012,0.4,0.2876711828506723,0.9797040820121765
llama,synonym,ourdataset.json,Q00012,0.45,,
llama,synonym,ourdataset.json,Q00012,0.45,,
llama,synonym,ourdataset.json,Q00012,0.45,,
llama,synonym,ourdataset.json,Q00012,0.45,,
llama,synonym,ourdataset.json,Q00012,0.45,,
llama,synonym,ourdataset.json,Q00012,0.5,,
llama,synonym,ourdataset.json,Q00012,0.5,,
llama,synonym,ourdataset.json,Q00012,0.5,,
llama,synonym,ourdataset.json,Q00012,0.5,,
llama,synonym,ourdataset.json,Q00012,0.5,,
llama,synonym,ourdataset.json,Q00012,0.55,,
llama,synonym,ourdataset.json,Q00012,0.55,,
llama,synonym,ourdataset.json,Q00012,0.55,,
llama,synonym,ourdataset.json,Q00012,0.55,,
llama,synonym,ourdataset.json,Q00012,0.55,,
llama,synonym,ourdataset.json,Q00012,0.6,0.20968959354719136,0.970582127571106
llama,synonym,ourdataset.json,Q00012,0.6,0.20316436157636356,0.9725574254989624
llama,synonym,ourdataset.json,Q00012,0.6,0.2400693124530914,0.9764014482498169
llama,synonym,ourdataset.json,Q00012,0.6,0.17383643913435018,0.9714680910110474
llama,synonym,ourdataset.json,Q00012,0.6,0.21346725616211906,0.9764517545700073
llama,synonym,ourdataset.json,Q00012,0.65,,
llama,synonym,ourdataset.json,Q00012,0.65,,
llama,synonym,ourdataset.json,Q00012,0.65,,
llama,synonym,ourdataset.json,Q00012,0.65,,
llama,synonym,ourdataset.json,Q00012,0.65,,
llama,synonym,ourdataset.json,Q00012,0.7,,
llama,synonym,ourdataset.json,Q00012,0.7,,
llama,synonym,ourdataset.json,Q00012,0.7,,
llama,synonym,ourdataset.json,Q00012,0.7,,
llama,synonym,ourdataset.json,Q00012,0.7,,
llama,synonym,ourdataset.json,Q00012,0.75,,
llama,synonym,ourdataset.json,Q00012,0.75,,
llama,synonym,ourdataset.json,Q00012,0.75,,
llama,synonym,ourdataset.json,Q00012,0.75,,
llama,synonym,ourdataset.json,Q00012,0.75,,
llama,synonym,ourdataset.json,Q00012,0.8,0.18617610500168724,0.9777083396911621
llama,synonym,ourdataset.json,Q00012,0.8,0.18786595455639898,0.9774502515792847
llama,synonym,ourdataset.json,Q00012,0.8,0.18630979961793215,0.9731885194778442
llama,synonym,ourdataset.json,Q00012,0.8,0.1414814841714881,0.9717307090759277
llama,synonym,ourdataset.json,Q00012,0.8,0.08255310902792874,0.9661153554916382
llama,synonym,ourdataset.json,Q00012,0.85,,
llama,synonym,ourdataset.json,Q00012,0.85,,
llama,synonym,ourdataset.json,Q00012,0.85,,
llama,synonym,ourdataset.json,Q00012,0.85,,
llama,synonym,ourdataset.json,Q00012,0.85,,
llama,synonym,ourdataset.json,Q00012,0.9,,
llama,synonym,ourdataset.json,Q00012,0.9,,
llama,synonym,ourdataset.json,Q00012,0.9,,
llama,synonym,ourdataset.json,Q00012,0.9,,
llama,synonym,ourdataset.json,Q00012,0.9,,
llama,synonym,ourdataset.json,Q00012,0.95,,
llama,synonym,ourdataset.json,Q00012,0.95,,
llama,synonym,ourdataset.json,Q00012,0.95,,
llama,synonym,ourdataset.json,Q00012,0.95,,
llama,synonym,ourdataset.json,Q00012,0.95,,
llama,synonym,ourdataset.json,Q00012,1.0,0.21598102445200618,0.968039870262146
llama,synonym,ourdataset.json,Q00012,1.0,0.21164122498807364,0.9705659747123718
llama,synonym,ourdataset.json,Q00012,1.0,0.1710919678558322,0.9717803001403809
llama,synonym,ourdataset.json,Q00012,1.0,0.18859300434712417,0.9685322046279907
llama,synonym,ourdataset.json,Q00012,1.0,0.1630446979576518,0.9694640040397644
