model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,synonym,ourdataset.json,Q00000,0.0,0.6518488899858741,0.9925501942634583
llama,synonym,ourdataset.json,Q00000,0.0,0.7187883096634103,0.9930615425109863
llama,synonym,ourdataset.json,Q00000,0.0,0.7178051493710507,0.9940128326416016
llama,synonym,ourdataset.json,Q00000,0.0,0.7207840411520521,0.992383599281311
llama,synonym,ourdataset.json,Q00000,0.0,0.6486575342465744,0.9898703694343567
llama,synonym,ourdataset.json,Q00000,0.05,,
llama,synonym,ourdataset.json,Q00000,0.05,,
llama,synonym,ourdataset.json,Q00000,0.05,,
llama,synonym,ourdataset.json,Q00000,0.05,,
llama,synonym,ourdataset.json,Q00000,0.05,,
llama,synonym,ourdataset.json,Q00000,0.1,,
llama,synonym,ourdataset.json,Q00000,0.1,,
llama,synonym,ourdataset.json,Q00000,0.1,,
llama,synonym,ourdataset.json,Q00000,0.1,,
llama,synonym,ourdataset.json,Q00000,0.1,,
llama,synonym,ourdataset.json,Q00000,0.15,,
llama,synonym,ourdataset.json,Q00000,0.15,,
llama,synonym,ourdataset.json,Q00000,0.15,,
llama,synonym,ourdataset.json,Q00000,0.15,,
llama,synonym,ourdataset.json,Q00000,0.15,,
llama,synonym,ourdataset.json,Q00000,0.2,0.5044467429132964,0.9818374514579773
llama,synonym,ourdataset.json,Q00000,0.2,0.6629193882432447,0.9896757006645203
llama,synonym,ourdataset.json,Q00000,0.2,0.568766901184151,0.9855116605758667
llama,synonym,ourdataset.json,Q00000,0.2,0.5947075416218273,0.9859946370124817
llama,synonym,ourdataset.json,Q00000,0.2,0.6098501418020269,0.9904874563217163
llama,synonym,ourdataset.json,Q00000,0.25,,
llama,synonym,ourdataset.json,Q00000,0.25,,
llama,synonym,ourdataset.json,Q00000,0.25,,
llama,synonym,ourdataset.json,Q00000,0.25,,
llama,synonym,ourdataset.json,Q00000,0.25,,
llama,synonym,ourdataset.json,Q00000,0.3,,
llama,synonym,ourdataset.json,Q00000,0.3,,
llama,synonym,ourdataset.json,Q00000,0.3,,
llama,synonym,ourdataset.json,Q00000,0.3,,
llama,synonym,ourdataset.json,Q00000,0.3,,
llama,synonym,ourdataset.json,Q00000,0.35,,
llama,synonym,ourdataset.json,Q00000,0.35,,
llama,synonym,ourdataset.json,Q00000,0.35,,
llama,synonym,ourdataset.json,Q00000,0.35,,
llama,synonym,ourdataset.json,Q00000,0.35,,
llama,synonym,ourdataset.json,Q00000,0.4,0.6534694523373501,0.9905151128768921
llama,synonym,ourdataset.json,Q00000,0.4,0.5357635443662844,0.9906937479972839
llama,synonym,ourdataset.json,Q00000,0.4,0.5799865225784057,0.9843737483024597
llama,synonym,ourdataset.json,Q00000,0.4,,
llama,synonym,ourdataset.json,Q00000,0.4,,
llama,synonym,ourdataset.json,Q00000,0.45,,
llama,synonym,ourdataset.json,Q00000,0.45,,
llama,synonym,ourdataset.json,Q00000,0.45,,
llama,synonym,ourdataset.json,Q00000,0.45,,
llama,synonym,ourdataset.json,Q00000,0.45,,
llama,synonym,ourdataset.json,Q00000,0.5,,
llama,synonym,ourdataset.json,Q00000,0.5,,
llama,synonym,ourdataset.json,Q00000,0.5,,
llama,synonym,ourdataset.json,Q00000,0.5,,
llama,synonym,ourdataset.json,Q00000,0.5,,
llama,synonym,ourdataset.json,Q00000,0.55,,
llama,synonym,ourdataset.json,Q00000,0.55,,
llama,synonym,ourdataset.json,Q00000,0.55,,
llama,synonym,ourdataset.json,Q00000,0.55,,
llama,synonym,ourdataset.json,Q00000,0.55,,
llama,synonym,ourdataset.json,Q00000,0.6,0.6076589865996512,0.9869745969772339
llama,synonym,ourdataset.json,Q00000,0.6,0.5580793481530089,0.9836856722831726
llama,synonym,ourdataset.json,Q00000,0.6,0.5450593456716313,0.9836856722831726
llama,synonym,ourdataset.json,Q00000,0.6,0.642614736489689,0.9924355745315552
llama,synonym,ourdataset.json,Q00000,0.6,,
llama,synonym,ourdataset.json,Q00000,0.65,,
llama,synonym,ourdataset.json,Q00000,0.65,,
llama,synonym,ourdataset.json,Q00000,0.65,,
llama,synonym,ourdataset.json,Q00000,0.65,,
llama,synonym,ourdataset.json,Q00000,0.65,,
llama,synonym,ourdataset.json,Q00000,0.7,,
llama,synonym,ourdataset.json,Q00000,0.7,,
llama,synonym,ourdataset.json,Q00000,0.7,,
llama,synonym,ourdataset.json,Q00000,0.7,,
llama,synonym,ourdataset.json,Q00000,0.7,,
llama,synonym,ourdataset.json,Q00000,0.75,,
llama,synonym,ourdataset.json,Q00000,0.75,,
llama,synonym,ourdataset.json,Q00000,0.75,,
llama,synonym,ourdataset.json,Q00000,0.75,,
llama,synonym,ourdataset.json,Q00000,0.75,,
llama,synonym,ourdataset.json,Q00000,0.8,0.47783526796599957,0.9784038662910461
llama,synonym,ourdataset.json,Q00000,0.8,0.48198118908594206,0.9754418134689331
llama,synonym,ourdataset.json,Q00000,0.8,0.5668290087931795,0.9885298013687134
llama,synonym,ourdataset.json,Q00000,0.8,0.5563311407770536,0.9861947298049927
