phrase,model,temperature,repetition_penalty,top_p,avg_bleu,avg_rouge1,avg_semantic_similarity,diversity_between_paraphrases,success
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,1.0,0.95,0.6985576205686201,0.9714285714285713,0.9493525743484497,0.8806498638001434,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,2.0,0.75,0.7111183044879537,0.9714285714285713,0.9500635623931885,0.8800603465406478,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,2.0,0.85,0.6933589503680204,0.9609266409266409,0.9357919573783875,0.8262333232622943,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,2.0,0.95,0.6933589503680204,0.9609266409266409,0.9357919573783875,0.8262333232622943,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,3.0,0.75,0.7111183044879537,0.9714285714285713,0.9500635623931885,0.8798376919919313,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,3.0,0.85,0.6881602801674207,0.9504247104247104,0.9222313404083252,0.8281666384723654,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,3.0,0.95,0.6881602801674207,0.9504247104247104,0.9222313404083252,0.8281666384723654,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,4.0,0.75,0.6578404157540779,0.9399227799227801,0.9060617804527282,0.8169574334547013,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,4.0,0.85,0.6578404157540779,0.9399227799227801,0.9060617804527282,0.8169574334547013,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,4.0,0.95,0.6578404157540779,0.9399227799227801,0.9060617804527282,0.8169574334547013,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.25,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.5,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,0.75,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,1.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,1.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,1.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,2.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,2.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,2.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,3.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,3.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,3.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,4.0,0.75,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,4.0,0.85,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",facebook/bart-base,1.0,4.0,0.95,0.9260562332955665,0.9609523809523809,0.9917895436286926,0.85510005002835,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,1.0,0.75,0.5508435671499627,0.7762924664742963,0.8999287128448487,0.7628814297654142,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,1.0,0.85,0.6130470526540734,0.8242271936543066,0.911527132987976,0.8063721219063851,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,1.0,0.95,0.5753681388073628,0.8023481717752846,0.9125921249389648,0.8792636698181171,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,2.0,0.75,0.5460927129749853,0.7647138429994864,0.8758429408073425,0.5834252374359489,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,2.0,0.85,0.5635727695836386,0.7579328756674295,0.8452372431755066,0.7680084860199591,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,2.0,0.95,0.4268849205638374,0.6708944510773779,0.8855875968933106,0.5962196386495948,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,3.0,0.75,0.4770464872070675,0.7091496033165681,0.8728583812713623,0.5878316337335207,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,3.0,0.85,0.5695865677448233,0.7676271139141597,0.8521403551101685,0.6992406005219448,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,3.0,0.95,0.2854624553905383,0.5781058707374497,0.8437960147857666,0.8638055453803805,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,4.0,0.75,0.5085443513039162,0.7130803056139653,0.8478089332580566,0.6470461088939876,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,4.0,0.85,0.5695865677448233,0.7676271139141598,0.8506399631500244,0.6756928114480103,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.25,4.0,0.95,0.317198835883256,0.6287208577996591,0.8706640720367431,0.883852309632964,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,1.0,0.75,0.5281161427501839,0.755080345262175,0.8726980805397033,0.6836683561400367,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",t5-base,0.5,1.0,0.85,0.5281161427501839,0.755080345262175,0.8726980805397033,0.6836683561400367,True
