,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_rouge1,avg_rouge1,avg_rouge1,avg_rouge1,avg_rouge1,avg_rouge1,avg_rouge1,avg_rouge1
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vamsi/T5_Paraphrase_Paws,96.0,0.9304469417780639,0.020163166811054612,0.8879511713981628,0.915270721912384,0.9342514276504517,0.9494988411664962,0.95476735830307,96.0,0.8922705217234933,0.044805454724278646,0.8169574334547013,0.8697781250658535,0.8962791947146295,0.9211149494786296,0.9591030886692904,96.0,0.7140402571380279,0.0440300582368195,0.6329246316021977,0.6933589503680204,0.7111183044879537,0.7270601071259903,0.8376354280817644,96.0,0.962938135489399,0.015540748697726463,0.9200746508033708,0.9575648520277675,0.9705882352941175,0.9714285714285713,0.9819990954319312
facebook/bart-base,96.0,0.9917822749664387,0.0005249904063698818,0.990831482410431,0.9915151596069336,0.9917895436286926,0.9917895436286926,0.9938008785247803,96.0,0.885039317729421,0.03034168954115613,0.85510005002835,0.85510005002835,0.8826173057922904,0.9134251932829471,0.9328750090451674,96.0,0.9375964745097253,0.012258302506808759,0.9260562332955665,0.9260562332955665,0.9347182588106293,0.9472470908527123,0.966615929947449,96.0,0.9716640014214639,0.010995376426555768,0.9609523809523809,0.9609523809523809,0.9666300366300367,0.9815384615384616,0.9907692307692308
t5-base,96.0,0.8354192325845361,0.09076915395096358,0.5268861353397369,0.8284861743450165,0.8703539848327637,0.8860961347818375,0.9228803396224976,96.0,0.8363408448599975,0.0868424161145351,0.5834252374359489,0.7930342399618177,0.8512183838202085,0.9046901342519615,0.9557020421381459,96.0,0.4145664457647545,0.1298240858269923,0.17218431242598764,0.2940068770720637,0.4161252810248477,0.5464130286726248,0.6204953170298249,96.0,0.6659942282004425,0.1161427698185788,0.39999999999999997,0.5746058097019714,0.7028136112079775,0.7595099210747817,0.8333747412008281
tuner007/pegasus_paraphrase,96.0,0.8931530230989059,0.04023179660164112,0.8391907691955567,0.8688401341438293,0.8718487918376923,0.9298975110054016,0.9792591094970703,96.0,0.8288847288662059,0.08678520068037107,0.5504754291311762,0.8106429406551732,0.8566192279133157,0.8855223270561632,0.9329397945518508,96.0,0.6593360627966675,0.11162445004855383,0.4148462419300646,0.6165072531660978,0.6484054417502445,0.6955771599443532,0.9178742269729383,96.0,0.8506647736913036,0.0658229864652966,0.5677542358139374,0.8356798893234364,0.8551319148070685,0.8726726726726726,0.9831746031746033
