model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,keyboard,oldleetcode.json,Q00007,0.0,0.9875,0.9987492561340332
llama,keyboard,oldleetcode.json,Q00007,0.0,0.9875,0.9987492561340332
llama,keyboard,oldleetcode.json,Q00007,0.0,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.0,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.0,0.9875,0.9987492561340332
llama,keyboard,oldleetcode.json,Q00007,0.05,,
llama,keyboard,oldleetcode.json,Q00007,0.05,,
llama,keyboard,oldleetcode.json,Q00007,0.05,,
llama,keyboard,oldleetcode.json,Q00007,0.05,,
llama,keyboard,oldleetcode.json,Q00007,0.05,,
llama,keyboard,oldleetcode.json,Q00007,0.1,,
llama,keyboard,oldleetcode.json,Q00007,0.1,,
llama,keyboard,oldleetcode.json,Q00007,0.1,,
llama,keyboard,oldleetcode.json,Q00007,0.1,,
llama,keyboard,oldleetcode.json,Q00007,0.1,,
llama,keyboard,oldleetcode.json,Q00007,0.15,,
llama,keyboard,oldleetcode.json,Q00007,0.15,,
llama,keyboard,oldleetcode.json,Q00007,0.15,,
llama,keyboard,oldleetcode.json,Q00007,0.15,,
llama,keyboard,oldleetcode.json,Q00007,0.15,,
llama,keyboard,oldleetcode.json,Q00007,0.2,0.9132560483870968,0.9962166547775269
llama,keyboard,oldleetcode.json,Q00007,0.2,0.78884,0.9953992962837219
llama,keyboard,oldleetcode.json,Q00007,0.2,0.3505590062111807,0.9820036888122559
llama,keyboard,oldleetcode.json,Q00007,0.2,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.2,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.25,,
llama,keyboard,oldleetcode.json,Q00007,0.25,,
llama,keyboard,oldleetcode.json,Q00007,0.25,,
llama,keyboard,oldleetcode.json,Q00007,0.25,,
llama,keyboard,oldleetcode.json,Q00007,0.25,,
llama,keyboard,oldleetcode.json,Q00007,0.3,,
llama,keyboard,oldleetcode.json,Q00007,0.3,,
llama,keyboard,oldleetcode.json,Q00007,0.3,,
llama,keyboard,oldleetcode.json,Q00007,0.3,,
llama,keyboard,oldleetcode.json,Q00007,0.3,,
llama,keyboard,oldleetcode.json,Q00007,0.35,,
llama,keyboard,oldleetcode.json,Q00007,0.35,,
llama,keyboard,oldleetcode.json,Q00007,0.35,,
llama,keyboard,oldleetcode.json,Q00007,0.35,,
llama,keyboard,oldleetcode.json,Q00007,0.35,,
llama,keyboard,oldleetcode.json,Q00007,0.4,0.9765625,0.997351348400116
llama,keyboard,oldleetcode.json,Q00007,0.4,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.4,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.4,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.4,0.9765625,0.9981240034103394
llama,keyboard,oldleetcode.json,Q00007,0.45,,
llama,keyboard,oldleetcode.json,Q00007,0.45,,
llama,keyboard,oldleetcode.json,Q00007,0.45,,
llama,keyboard,oldleetcode.json,Q00007,0.45,,
llama,keyboard,oldleetcode.json,Q00007,0.45,,
