model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,keyboard,oldleetcode.json,Q00011,0.95,,
gemini,keyboard,oldleetcode.json,Q00011,0.95,,
gemini,keyboard,oldleetcode.json,Q00011,0.95,,
gemini,keyboard,oldleetcode.json,Q00011,0.95,,
gemini,keyboard,oldleetcode.json,Q00011,0.95,,
gemini,keyboard,oldleetcode.json,Q00011,1.0,0.9223328305681248,0.9945158958435059
gemini,keyboard,oldleetcode.json,Q00011,1.0,0.9223328305681248,0.9934471845626831
gemini,keyboard,oldleetcode.json,Q00011,1.0,0.9223328305681248,0.9934471845626831
gemini,keyboard,oldleetcode.json,Q00011,1.0,0.9223328305681248,0.9934471845626831
gemini,keyboard,oldleetcode.json,Q00011,1.0,0.9223328305681248,0.9945158958435059
