model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,synonym,ourdataset.json,Q00000,0.0,0.9700000000000001,0.9949318766593933
claude,synonym,ourdataset.json,Q00000,0.0,0.9800000000000001,0.9934967756271362
claude,synonym,ourdataset.json,Q00000,0.0,0.9800000000000001,0.9924823045730591
claude,synonym,ourdataset.json,Q00000,0.0,0.9800000000000001,0.9956434965133667
claude,synonym,ourdataset.json,Q00000,0.0,0.9700000000000001,0.9948906898498535
claude,synonym,ourdataset.json,Q00000,0.05,0.8495364238410597,
claude,synonym,ourdataset.json,Q00000,0.05,0.9144444444444444,
claude,synonym,ourdataset.json,Q00000,0.05,0.8300000000000001,
claude,synonym,ourdataset.json,Q00000,0.05,0.8580132450331126,
claude,synonym,ourdataset.json,Q00000,0.05,0.7106666666666669,
claude,synonym,ourdataset.json,Q00000,0.1,0.7870454545454544,0.9917076826095581
claude,synonym,ourdataset.json,Q00000,0.1,0.8479999999999999,0.9931467771530151
claude,synonym,ourdataset.json,Q00000,0.1,0.8942857142857144,0.9883691072463989
claude,synonym,ourdataset.json,Q00000,0.1,0.7973184357541897,0.9921743273735046
claude,synonym,ourdataset.json,Q00000,0.1,0.7973184357541897,0.9894921183586121
claude,synonym,ourdataset.json,Q00000,0.15,0.8580132450331126,
claude,synonym,ourdataset.json,Q00000,0.15,0.8580132450331126,
claude,synonym,ourdataset.json,Q00000,0.15,0.8942857142857144,
claude,synonym,ourdataset.json,Q00000,0.15,0.8299999999999998,
claude,synonym,ourdataset.json,Q00000,0.15,0.8942857142857144,
claude,synonym,ourdataset.json,Q00000,0.2,0.8777777777777779,0.9917839169502258
claude,synonym,ourdataset.json,Q00000,0.2,0.6745132743362834,0.9844036102294922
claude,synonym,ourdataset.json,Q00000,0.2,0.7810869565217393,0.9920408129692078
claude,synonym,ourdataset.json,Q00000,0.2,0.7669109947643981,0.9898284673690796
claude,synonym,ourdataset.json,Q00000,0.2,0.8777777777777779,0.9935121536254883
claude,synonym,ourdataset.json,Q00000,0.25,0.9144444444444444,
claude,synonym,ourdataset.json,Q00000,0.25,0.8942857142857144,
claude,synonym,ourdataset.json,Q00000,0.25,0.7613559322033898,
claude,synonym,ourdataset.json,Q00000,0.25,0.8942857142857144,
claude,synonym,ourdataset.json,Q00000,0.25,0.8438323353293413,
claude,synonym,ourdataset.json,Q00000,0.3,0.8942857142857144,0.993481457233429
claude,synonym,ourdataset.json,Q00000,0.3,0.7816867469879518,0.9899029731750488
claude,synonym,ourdataset.json,Q00000,0.3,0.8777777777777779,0.9937636256217957
claude,synonym,ourdataset.json,Q00000,0.3,0.9144444444444444,0.9933761358261108
claude,synonym,ourdataset.json,Q00000,0.3,0.8663945578231292,0.9929202198982239
claude,synonym,ourdataset.json,Q00000,0.35,0.8109714285714287,
claude,synonym,ourdataset.json,Q00000,0.35,0.8438323353293413,
claude,synonym,ourdataset.json,Q00000,0.35,0.8109714285714287,
claude,synonym,ourdataset.json,Q00000,0.35,0.8942857142857144,
claude,synonym,ourdataset.json,Q00000,0.35,0.8036111111111112,
claude,synonym,ourdataset.json,Q00000,0.4,0.6736651583710411,0.9894708395004272
claude,synonym,ourdataset.json,Q00000,0.4,0.6134883720930236,0.9861565828323364
claude,synonym,ourdataset.json,Q00000,0.4,0.7476571428571428,0.9859327077865601
claude,synonym,ourdataset.json,Q00000,0.4,0.6710132158590313,0.989997386932373
claude,synonym,ourdataset.json,Q00000,0.4,0.8394701986754967,0.9890322685241699
