,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,avg_semantic_similarity,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,diversity_between_paraphrases,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_bleu,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel,avg_rougel
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vamsi/T5_Paraphrase_Paws,144.0,0.9327110053764449,0.017776508360757365,0.887951135635376,0.9186422824859619,0.9357919096946716,0.9485589385032653,0.9594492673873901,144.0,0.8914009529981626,0.042449477127024626,0.8169574334547013,0.866488296195415,0.8871917584228195,0.9209178327004576,0.9591030886692904,144.0,0.7307082829199669,0.041651079533352786,0.6329246316021977,0.7111183044879537,0.7264697426961608,0.7646708085547627,0.8361599248520182,144.0,0.934537330714281,0.01683461876856446,0.8928571428571429,0.9243360910957301,0.9364081062194269,0.9485714285714286,0.973134328358209
facebook/bart-base,144.0,0.9868523589438863,0.00938677291311141,0.9570236444473267,0.9813462674617768,0.9917895317077636,0.9935218214988708,0.9935218214988708,144.0,0.8777360102418089,0.03010643577604966,0.8330867921952286,0.85510005002835,0.8573104519002935,0.9134522891629423,0.941712176407363,144.0,0.9149628325305402,0.040562313678655225,0.8298369118018589,0.8696605766844705,0.9260562332955665,0.9557938128348576,0.969809043792672,144.0,0.9717687494233078,0.013951001677256243,0.9338086595799844,0.9609523809523809,0.9697859373267721,0.987784156142365,0.9940298507462686
t5-base,144.0,0.844272744945354,0.09008794801341861,0.504006952047348,0.8427287876605988,0.8748134136199951,0.8926257789134979,0.9498940587043763,144.0,0.8276375281606396,0.08394915606327935,0.5908134286208099,0.7851921430682581,0.8406547986587781,0.893284625284124,0.9527833452971924,144.0,0.4568845285886337,0.14290599865699297,0.14008891048559258,0.3284051116846564,0.48621892282728346,0.5693171855508736,0.7906052147314235,144.0,0.5881455366380391,0.11358727867648796,0.33255649717514124,0.500704611248966,0.6125748066527307,0.6591485131566162,0.7865021770682148
tuner007/pegasus_paraphrase,142.0,0.8484689249958791,0.08074094976314729,0.6293756365776062,0.7897723197937012,0.8681907176971435,0.8839972376823425,0.9792590975761414,142.0,0.8374020110459119,0.08268964599804557,0.5504754291311762,0.8207894383107928,0.8610232854634465,0.8932508578911877,0.9384033549059015,142.0,0.5918899929888523,0.1356867671081866,0.301210363544195,0.4704500334277609,0.6165072531660978,0.6626112026711332,0.9178742269729383,142.0,0.6989781254225081,0.1190531778986083,0.39630045442395084,0.6097534670990049,0.6883230904302019,0.7422222222222221,0.9831746031746033
